序号,位移响应
879,3.958718417232432e-07
880,4.06372217850269e-07
881,4.168728559518808e-07
882,4.2732738171290753e-07
883,4.376896864099742e-07
884,4.4791414951929357e-07
885,4.5795585886872447e-07
886,4.6777082727458955e-07
887,4.77316204621103e-07
888,4.865504843627336e-07
889,4.954337034570096e-07
890,5.039276347673459e-07
891,5.119959710120853e-07
892,5.196044993770703e-07
893,5.267212659542229e-07
894,5.333167292180562e-07
895,5.393639018049817e-07
896,5.44838479916911e-07
897,5.49718959730493e-07
898,5.539867402559788e-07
899,5.576262121553194e-07
900,5.606248320966289e-07
901,5.62973182292108e-07
902,5.646650149377762e-07
903,5.656972813463165e-07
904,5.660701456378433e-07
905,5.657869829280229e-07
906,5.648543620273518e-07
907,5.63282012740205e-07
908,5.610827779260879e-07
909,5.582725505590293e-07
910,5.548701960930823e-07
911,5.508974605125262e-07
912,5.46378864514203e-07
913,5.413415843359833e-07
914,5.3581531980952e-07
915,5.298321502767656e-07
916,5.234263790679822e-07
917,5.166343672938254e-07
918,5.094943577553253e-07
919,5.020462898229749e-07
920,4.943316061793408e-07
921,4.863930523586221e-07
922,4.782744700509904e-07
923,4.700205851693509e-07
924,4.616767917011106e-07
925,4.532889323877193e-07
926,4.4490307728964346e-07
927,4.365653013044961e-07
928,4.283214617108785e-07
929,4.2021697681005596e-07
930,4.122966067322497e-07
931,4.0460423746355e-07
932,3.9718266913394313e-07
933,3.900734095860714e-07
934,3.833164742189275e-07
935,3.7695019307019633e-07
936,3.710110260660095e-07
937,3.655333873274801e-07
938,3.605494793795375e-07
